sample,year,ln_total_cost_adj,ln_total_asset_adj,ln_price_capital_adj,ln_price_labour_adj,ln_total_asset_adj_square,ln_price_inter,ln_asset_capital,ln_asset_labour,efficiency
5,20,14,16,0.5587,7.0406,271,3.9334,9.1966,115.8966,0.057720464
6,20,14,17,0.3541,6.9921,288,2.4758,6.0104,118.6844,0.215412963
10,20,15,18,0.3012,7.245,307,2.1822,5.2767,126.9226,0.322067198
14,20,15,18,0.3958,7.0037,319,2.7718,7.0664,125.0511,0.144018949
15,20,15,18,0.2877,6.8519,333,1.9712,5.2486,125.007,0.360899988
16,20,13,17,0.3555,6.879,287,2.4456,6.0207,116.4969,0.223018166
17,20,11,14,0.1526,7.0909,185,1.0817,2.0734,96.3722,0.289799971
19,20,13,17,0.2527,7.4308,306,1.8777,4.4208,130.0028,0.565511856
20,20,12,17,0.1501,7.2237,285,1.0845,2.5325,121.8515,0.351992314
21,20,14,18,0.1925,7.2952,335,1.404,3.5228,133.5305,0.85153643
22,20,12,16,0.1592,6.832,262,1.0874,2.5773,110.6239,0.395643588
1,21,17,20,0.1578,7.41,417,1.1689,3.222,151.3451,0.580703181
3,21,15,17,0.1858,7.1188,298,1.3228,3.2062,122.8311,0.747850255
5,21,14,17,0.5692,7.102,281,4.0427,9.5453,119.0906,0.054105729
6,21,14,17,0.3973,7.2773,296,2.8913,6.8306,125.1147,0.149159204
10,21,15,18,0.2569,7.3366,317,1.8849,4.5731,130.589,0.501339934
14,21,15,18,0.3207,6.9968,325,2.2441,5.7825,126.1486,0.26369094
15,21,15,19,0.269,7.0824,343,1.9052,4.9833,131.2065,0.431253654
16,21,13,17,0.336,6.8527,294,2.3023,5.7592,117.4702,0.260077751
17,21,12,14,0.1364,7.1111,186,0.9701,1.8617,97.0485,0.21941613
19,21,13,17,0.2192,7.4634,305,1.6363,3.8271,130.2839,0.857184738
20,21,13,17,0.114,7.3778,290,0.8409,1.9418,125.6894,0.166978451
21,21,14,18,0.212,7.454,334,1.5805,3.8763,136.2728,0.878107886
